MD5,detections,Package_Name,Permissions,Last_date,Verdict,Positive
944850ee0b7fc774c055a2233478bb0f,11,com.mobogenie.daemon,android.permission.WRITE_EXTERNAL_STORAGE android.permission.ACCESS_FINE_LOCATION android.permission.RESTART_PACKAGES android.permission.GET_PACKAGE_SIZE android.permission.READ_CONTACTS android.permission.WRITE_CONTACTS android.permission.INTERNET android.permission.ACCESS_NETWORK_STATE android.permission.CHANGE_NETWORK_STATE android.permission.ACCESS_WIFI_STATE android.permission.CHANGE_WIFI_STATE android.permission.WAKE_LOCK android.permission.READ_SMS android.permission.WRITE_SMS android.permission.SEND_SMS android.permission.RECEIVE_SMS android.permission.AUTHENTICATE_ACCOUNTS android.permission.GET_ACCOUNTS android.permission.MANAGE_ACCOUNTS android.permission.WRITE_SYNC_SETTINGS android.permission.READ_PHONE_STATE android.permission.SET_WALLPAPER android.permission.SET_WALLPAPER_HINTS android.permission.WRITE_SETTINGS,1/5/2019 11:15,not-a-virus:HEUR:RiskTool.AndroidOS.Dnotua.bmo,1
f74564454f744262ec4210c8d0375e4a,53,com.StikEzKriM.odieapps,android.permission.INTERNET android.permission.ACCESS_NETWORK_STATE,9/21/2018 3:41,Virus.Win32.Renamer.j,1
727b985e8652db6b919f75a4bf6b2daa,55,com.lololo,android.permission.SYSTEM_ALERT_WINDOW android.permission.RECEIVE_BOOT_COMPLETED android.permission.SET_WALLPAPER android.permission.INTERNET android.permission.ACCESS_WIFI_STATE android.permission.ACCESS_NETWORK_STATE android.permission.READ_EXTERNAL_STORAGE android.permission.WRITE_EXTERNAL_STORAGE android.permission.CHANGE_NETWORK_STATE android.permission.CHANGE_WIFI_STATE,9/14/2018 11:32,Trojan-Ransom.Win32.Wanna.zbu,1
021d55c415ff951c8e7b1ce3f94399bb,40,com.BioTechnology.iClientsService44370,android.permission.READ_PHONE_STATE android.permission.ACCESS_WIFI_STATE android.permission.CHANGE_WIFI_STATE android.permission.READ_PHONE_STATE android.permission.CALL_PHONE android.permission.ACCESS_NETWORK_STATE android.permission.CHANGE_NETWORK_STATE android.permission.WRITE_EXTERNAL_STORAGE android.permission.ACCESS_NETWORK_STATE android.permission.INTERNET android.permission.RECEIVE_BOOT_COMPLETED android.permission.WRITE_SMS android.permission.READ_SMS android.permission.RECEIVE_SMS android.permission.SEND_SMS android.permission.RECEIVE_BOOT_COMPLETED android.permission.READ_CONTACTS android.permission.WRITE_CONTACTS android.permission.RECORD_AUDIO android.permission.ACCESS_FINE_LOCATION android.permission.MODIFY_AUDIO_SETTINGS android.permission.WAKE_LOCK android.permission.DISABLE_KEYGUARD,12/24/2018 1:47,HEUR:Trojan-SMS.AndroidOS.Agent.hb,1
da0727796e4a6179fb1647e55222f5e2,33,yps.eton.application,android.permission.CAMERA android.permission.BLUETOOTH android.permission.READ_EXTERNAL_STORAGE android.permission.WRITE_CALL_LOG com.android.browser.permission.READ_HISTORY_BOOKMARKS android.permission.WRITE_SETTINGS android.permission.SYSTEM_ALERT_WINDOW android.permission.WRITE_EXTERNAL_STORAGE android.permission.SET_WALLPAPER android.permission.SET_WALLPAPER_HINTS android.permission.SEND_SMS android.permission.RECEIVE_BOOT_COMPLETED android.permission.KILL_BACKGROUND_PROCESSES android.permission.VIBRATE android.permission.CAMERA android.permission.GET_ACCOUNTS android.permission.WAKE_LOCK android.permission.ACCESS_NETWORK_STATE android.permission.WRITE_CONTACTS android.permission.READ_CONTACTS android.permission.RECORD_AUDIO android.permission.READ_SMS android.permission.ACCESS_WIFI_STATE android.permission.CHANGE_WIFI_STATE android.permission.READ_CALL_LOG android.permission.INTERNET android.permission.READ_PHONE_STATE android.permission.CALL_PHONE android.permission.ACCESS_COARSE_LOCATION android.permission.ACCESS_FINE_LOCATION android.permission.RECEIVE_SMS android.permission.RECEIVE_BOOT_COMPLETED android.permission.INSTALL_PACKAGES android.permission.PROCESS_OUTGOING_CALLS,1/15/2019 11:41,HEUR:Trojan-Dropper.AndroidOS.Agent.ja,1
143eb29633856d25afdac03a58cd45c3,4,com.julyz.babyenglish,android.permission.READ_LOGS android.permission.INTERNET android.permission.READ_PHONE_STATE android.permission.ACCESS_NETWORK_STATE android.permission.WRITE_EXTERNAL_STORAGE android.permission.ACCESS_WIFI_STATE android.permission.ACCESS_COARSE_LOCATION android.permission.ACCESS_COARSE_UPDATES com.android.launcher.permission.INSTALL_SHORTCUT android.permission.GET_TASKS android.permission.WRITE_SETTINGS android.permission.WAKE_LOCK com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE com.google.android.c2dm.permission.RECEIVE,1/15/2019 19:06,None,1
2c7281e235b6ee680c457b67cd71dc33,28,com.gp.paopaoyu,android.permission.WAKE_LOCK android.permission.INTERNET android.permission.READ_PHONE_STATE android.permission.ACCESS_WIFI_STATE android.permission.CHANGE_WIFI_STATE android.permission.WRITE_EXTERNAL_STORAGE android.permission.RECEIVE_BOOT_COMPLETED android.permission.INTERNET android.permission.ACCESS_NETWORK_STATE android.permission.READ_PHONE_STATE android.permission.WRITE_EXTERNAL_STORAGE android.permission.GET_TASKS,6/3/2018 7:42,nan,1
43bab5987a2a513252e69c94879fe641,50,com.Micrwinte,com.android.launcher.permission.INSTALL_SHORTCUT android.permission.GET_TASKS android.permission.SEND_SMS android.permission.WRITE_EXTERNAL_STORAGE android.permission.WRITE_SMS android.permission.ACCESS_WIFI_STATE android.permission.RECEIVE_SMS android.permission.ACCESS_COARSE_LOCATION android.permission.MOUNT_UNMOUNT_FILESYSTEMS android.permission.READ_PHONE_STATE android.permission.READ_SMS android.permission.SYSTEM_ALERT_WINDOW android.permission.INTERNET android.permission.ACCESS_FINE_LOCATION com.android.launcher.permission.READ_SETTINGS android.permission.WAKE_LOCK android.permission.ACCESS_NETWORK_STATE android.permission.CHANGE_CONFIGURATION,9/23/2017 8:45,Trojan-Dropper.VBS.Agent.bp,1
7d73c9a6deb18a57a0854f2e062aecd9,20,com.mvaag.hngkx,android.permission.READ_EXTERNAL_STORAGE android.permission.GET_TASKS android.permission.INTERNET android.permission.WRITE_EXTERNAL_STORAGE android.permission.ACCESS_NETWORK_STATE android.permission.INTERNET android.permission.ACCESS_NETWORK_STATE android.permission.READ_PHONE_STATE,8/25/2018 10:33,not-a-virus:HEUR:RiskTool.AndroidOS.Dnotua.aaae,1
25e9c9e73f15d10db9b33e44f7e428cd,51,com.PapahNdroiD.drawingonepiece,android.permission.INTERNET android.permission.ACCESS_NETWORK_STATE,9/21/2018 2:09,Virus.Win32.Slugin.a,1
